id,title,author,year,total_weeks,first_week,debut_rank,best_rank,author_count,author_first_name,author_last_name,author_gender,author_race
1902,FORTUNE AND GLORY,Janet Evanovich,2020,3,2020-11-22,1,1,1,['Janet'],['Evanovich'],['F'],['white']
1903,FORTUNE OF FEAR,L. Ron Hubbard,1986,4,1986-10-26,12,10,1,['L.'],['Hubbard'],[None],['white']
1904,FORWARD THE FOUNDATION,Isaac Asimov,1993,3,1993-04-11,9,7,1,['Isaac'],['Asimov'],['M'],[None]
1905,FOUCAULT'S PENDULUM,Umberto Eco,1989,17,1989-10-22,11,3,1,['Umberto'],['Eco'],['M'],[None]
1906,FOUNDATION AND EARTH,Isaac Asimov,1986,15,1986-10-19,12,7,1,['Isaac'],['Asimov'],['M'],[None]
1907,FOUNDATION STONE,Lella Warren,1940,10,1940-09-23,6,2,1,['Lella'],['Warren'],['F'],['white']
1908,FOUNDATION'S EDGE,Isaac Asimov,1982,24,1982-10-17,13,3,1,['Isaac'],['Asimov'],['M'],[None]
1909,FOUNDATION’S EDGE,Isaac Asimov,1983,1,1983-01-23,5,5,1,['Isaac'],['Asimov'],['M'],[None]
191,A PILLAR OF IRON,Taylor Caldwell,1965,12,1965-05-23,9,8,1,['Taylor'],['Caldwell'],['F'],['white']
1910,FOUNDERS,James Wesley Rawles,2012,1,2012-10-14,11,11,1,['James'],['Rawles'],['M'],['white']
1911,FOUR BLIND MICE,James Patterson,2002,13,2002-12-08,1,1,1,['James'],['Patterson'],['M'],['white']
1912,FOUR BLONDES,Candace Bushnell,2000,8,2000-09-17,12,7,1,['Candace'],['Bushnell'],['F'],['white']
1913,FOUR PAST MIDNIGHT,Stephen King,1990,22,1990-09-16,1,1,1,['Stephen'],['King'],['M'],['white']
1914,FOURTH COMINGS,Megan McCafferty,2007,1,2007-08-26,16,16,1,['Megan'],['McCafferty'],['F'],['white']
1915,FOXFIRE,Anya Seton,1951,13,1951-01-21,15,6,1,['Anya'],['Seton'],['F'],['white']
1916,FRACTURED,Karin Slaughter,2008,1,2008-08-17,15,15,1,['Karin'],['Slaughter'],['F'],['white']
1917,FRAGILE THINGS,Neil Gaiman,2006,1,2006-10-15,14,14,1,['Neil'],['Gaiman'],['M'],[None]
1918,FRANKENSTEIN: LOST SOULS,Dean Koontz,2010,2,2010-07-04,7,7,1,['Dean'],['Koontz'],['M'],['white']
1919,FRANNY AND ZOOEY,J.D. Salinger,1961,54,1961-09-24,10,1,1,['J.D.'],['Salinger'],[None],['white']
192,A PLACE CALLED FREEDOM,Ken Follett,1995,8,1995-09-17,12,6,1,['Ken'],['Follett'],['M'],['white']
1920,FREAKY DEAKY,Elmore Leonard,1988,11,1988-05-22,11,7,1,['Elmore'],['Leonard'],['M'],['white']
1921,FREE FALL IN CRIMSON,John D. MacDonald,1981,20,1981-04-26,11,3,1,['John'],['MacDonald'],['M'],['white']
1922,FREE LAND,Rose Wilder Lane,1938,3,1938-05-09,6,5,1,['Rose'],['Lane'],['F'],['white']
1923,FREEDOM,Jonathan Franzen,2010,19,2010-09-19,1,1,1,['Jonathan'],['Franzen'],['M'],['white']
1924,FREEDOM,William Safire,1987,10,1987-09-13,13,6,1,['William'],['Safire'],['M'],[None]
1925,FRENCH KISS,Eric Van Lustbader,1989,2,1989-02-19,11,11,1,['Eric'],['Lustbader'],['M'],['white']
1926,FRENCH SILK,Sandra Brown,1992,7,1992-05-03,15,6,1,['Sandra'],['Brown'],['F'],['white']
1927,FRENCHMAN'S CREEK,Daphne du Maurier,1942,10,1942-02-09,3,1,1,['Daphne'],['Maurier'],['F'],[None]
1928,FRESH DISASTERS,Stuart Woods,2007,5,2007-04-29,3,3,1,['Stuart'],['Woods'],['M'],['white']
1929,FRICTION,Sandra Brown,2015,2,2015-09-06,4,4,1,['Sandra'],['Brown'],['F'],['white']
193,A PLACE FOR US,Fatima Farheen Mirza,2018,1,2018-07-01,13,13,1,['Fatima'],['Mirza'],['F'],['api']
1930,FRIDAY,Robert A. Heinlein,1982,10,1982-06-27,12,8,1,['Robert'],['Heinlein'],['M'],['white']
1931,FRIENDS AND LOVERS,Helen MacInnes,1947,3,1947-09-14,13,13,1,['Helen'],['MacInnes'],['F'],['white']
1932,FRIENDS AND STRANGERS,J. Courtney Sullivan,2020,1,2020-07-19,10,10,1,['J.'],['Sullivan'],['M'],['white']
1933,FRIENDS FOREVER,Danielle Steel,2012,6,2012-08-12,3,3,1,['Danielle'],['Steel'],['F'],['white']
1934,"FRIENDS, LOVERS, CHOCOLATE",Alexander McCall Smith,2005,2,2005-10-09,11,11,1,['Alexander'],['Smith'],['M'],['white']
1935,FROG MUSIC,Emma Donoghue,2014,3,2014-04-20,15,14,1,['Emma'],['Donoghue'],['F'],['white']
1936,FROM A BUICK 8,Stephen King,2002,11,2002-10-13,1,1,1,['Stephen'],['King'],['M'],['white']
1937,FROM DEAD TO WORSE,Charlaine Harris,2008,6,2008-05-25,6,6,1,['Charlaine'],['Harris'],['F'],['white']
1938,FROM HERE TO ETERNITY,James Jones,1951,66,1951-03-11,12,1,1,['James'],['Jones'],['M'],['white']
1939,FROM POTTER'S FIELD,Patricia Cornwell,1995,10,1995-08-20,4,1,1,['Patricia'],['Cornwell'],['F'],['white']
194,A PLACE IN THE COUNTRY,Sarah Gainham,1969,9,1969-08-31,10,7,1,['Sarah'],['Gainham'],['F'],[None]
1940,FROM THE CORNER OF HIS EYE,Dean Koontz,2001,11,2001-01-14,1,1,1,['Dean'],['Koontz'],['M'],['white']
1941,FROM THE TERRACE,John O'Hara,1958,27,1958-12-07,10,3,1,['John'],"[""O'Hara""]",['M'],[None]
1942,FROM TIME TO TIME,Jack Finney,1995,1,1995-03-05,15,15,1,['Jack'],['Finney'],['M'],['white']
1943,FROST BURNED,Patricia Briggs,2013,3,2013-03-24,1,1,1,['Patricia'],['Briggs'],['F'],['white']
1944,FROSTBITTEN,Kelley Armstrong,2009,1,2009-10-18,12,12,1,['Kelley'],['Armstrong'],['F'],['white']
1945,FROZEN HEAT,Richard Castle,2012,1,2012-09-30,8,8,1,['Richard'],['Castle'],['M'],['white']
1946,FUEL FOR THE FLAME,Alec Waugh,1960,10,1960-01-31,10,10,1,['Alec'],['Waugh'],['M'],['white']
1947,FUGITIVE NIGHTS,Joseph Wambaugh,1992,5,1992-02-09,13,7,1,['Joseph'],['Wambaugh'],['M'],['white']
1948,FULL BLACK,Brad Thor,2011,6,2011-08-14,3,3,1,['Brad'],['Thor'],['M'],['api']
1949,FULL CIRCLE,Danielle Steel,1984,20,1984-05-27,3,1,1,['Danielle'],['Steel'],['F'],['white']
195,A PLACE OF HIDING,Elizabeth George,2003,7,2003-08-17,6,5,1,['Elizabeth'],['George'],['F'],['white']
1950,"FULL DARK, NO STARS",Stephen King,2010,8,2010-11-28,2,2,1,['Stephen'],['King'],['M'],['white']
1951,FULL DISCLOSURE,William Safire,1977,14,1977-07-17,10,4,1,['William'],['Safire'],['M'],[None]
1952,FULL FLAVOUR,Doris Leslie,1934,1,1934-10-08,8,8,1,['Doris'],['Leslie'],['F'],['white']
1953,FULL OF GRACE,Dorothea Benton Frank,2006,3,2006-05-21,9,9,1,['Dorothea'],['Frank'],['F'],['white']
1954,FULL THROTTLE,Joe Hill,2019,1,2019-10-20,9,9,1,['Joe'],['Hill'],['M'],['white']
1955,FULL WOLF MOON,Lincoln Child,2017,1,2017-06-04,10,10,1,['Lincoln'],['Child'],['M'],['white']
1956,FUNERAL IN BERLIN,Len Deighton,1965,20,1965-01-31,10,3,1,['Len'],['Deighton'],['M'],['white']
1957,FUNNY GIRL,Nick Hornby,2015,2,2015-02-22,9,9,1,['Nick'],['Hornby'],['M'],['white']
1958,FURY,Salman Rushdie,2001,1,2001-09-30,14,14,1,['Salman'],['Rushdie'],['M'],[None]
1959,FUTURE HOME OF THE LIVING GOD,Louise Erdrich,2017,1,2017-12-03,13,13,1,['Louise'],['Erdrich'],['F'],['white']
196,A PLAGUE OF DOVES,Louise Erdrich,2008,1,2008-05-18,16,16,1,['Louise'],['Erdrich'],['F'],['white']
1960,GABRIEL OVER THE WHITE HOUSE,Anonymous,1933,1,1933-04-03,3,3,1,['Anonymous'],['N/A'],[None],[None]
1961,GABRIEL'S ANGEL,Nora Roberts,2005,5,2005-10-16,11,8,1,['Nora'],['Roberts'],['F'],['white']
1962,"GABRIELA, CLOVE AND CINNAMON",Jorge Amado,1962,6,1962-10-14,16,14,1,['Jorge'],['Amado'],['M'],['hispanic']
1963,GAI-JIN,James Clavell,1993,13,1993-05-09,6,4,1,['James'],['Clavell'],['M'],['hispanic']
1964,GALAPAGOS,Kurt Vonnegut,1985,17,1985-10-20,12,5,1,['Kurt'],['Vonnegut'],['M'],[None]
1965,GAP CREEK,Robert Morgan,2000,13,2000-02-06,4,4,1,['Robert'],['Morgan'],['M'],['white']
1966,GARDEN OF BEASTS,Jeffery Deaver,2004,1,2004-08-08,10,10,1,['Jeffery'],['Deaver'],['M'],['white']
1967,GARDEN OF LIES,Amanda Quick,2015,1,2015-05-10,11,11,1,['Amanda'],['Quick'],['F'],['white']
1968,GARDEN OF LIES,Eileen Goudge,1989,8,1989-06-11,13,12,1,['Eileen'],['Goudge'],['F'],['white']
1969,GARDEN SPELLS,Sarah Addison Allen,2007,4,2007-09-30,7,7,1,['Sarah'],['Allen'],['F'],['white']
197,A PLAGUE OF SECRETS,John Lescroart,2009,1,2009-07-19,12,12,1,['John'],['Lescroart'],['M'],[None]
1970,GARMENT OF SHADOWS,Laurie R. King,2012,1,2012-09-23,9,9,1,['Laurie'],['King'],['F'],['white']
1971,GATHERING PREY,John Sandford,2015,5,2015-05-17,1,1,1,['John'],['Sandford'],['M'],['white']
1972,GAUDY NIGHT,Dorothy L. Sayers,1936,8,1936-03-02,7,4,1,['Dorothy'],['Sayers'],['F'],['white']
1973,GAUNTLGRYM,R. A. Salvatore,2010,1,2010-10-24,13,13,1,['R.'],['Salvatore'],[None],['white']
1974,GEMINI,William Kelley,1959,6,1959-11-22,12,12,1,['William'],['Kelley'],['M'],['white']
1975,GENEVIEVE,Eric Jerome Dickey,2005,2,2005-05-29,9,9,1,['Eric'],['Dickey'],['M'],['white']
1976,GENIUS,Patrick Dennis,1962,13,1962-11-18,12,4,1,['Patrick'],['Dennis'],['M'],['white']
1977,GENTIAN HILL,Elizabeth Goudge,1950,16,1950-01-15,13,4,1,['Elizabeth'],['Goudge'],['F'],['white']
1978,GENTLEMAN'S AGREEMENT,Laura Z. Hobson,1947,36,1947-03-16,14,1,1,['Laura'],['Hobson'],['F'],['white']
1979,GERALD'S GAME,Stephen King,1992,28,1992-07-19,1,1,1,['Stephen'],['King'],['M'],['white']
198,A PORTION FOR FOXES,Jane McIlvaine McClary,1972,17,1972-06-11,8,6,1,['Jane'],['McClary'],['F'],['white']
1980,GET SHORTY,Elmore Leonard,1990,6,1990-08-12,11,5,1,['Elmore'],['Leonard'],['M'],['white']
1981,GETTING TO HAPPY,Terry McMillan,2010,6,2010-09-26,4,4,1,['Terry'],['McMillan'],['M'],['white']
1982,GETTYSBURG,Newt Gingrich and William R. Forstchen,2003,1,2003-06-29,12,12,2,"['Newt', 'William']","['Gingrich', 'Forstchen']","['M', 'M']","['white', None]"
1983,GHOST SHIP,Clive Cussler and Graham Brown,2014,3,2014-06-15,2,2,2,"['Clive', 'Graham']","['Cussler', 'Brown']","['M', 'M']","[None, 'white']"
1984,GHOST STORY,Jim Butcher,2011,5,2011-08-14,1,1,1,['Jim'],['Butcher'],['M'],['white']
1985,GHOST STORY,Peter Straub,1979,19,1979-04-29,12,7,1,['Peter'],['Straub'],['M'],['white']
1986,GHOSTED,Rosie Walsh,2018,1,2018-08-12,5,5,1,['Rosie'],['Walsh'],['F'],['white']
1987,GIANT,Edna Ferber,1952,27,1952-10-12,12,2,1,['Edna'],['Ferber'],['F'],['white']
1988,GIDEON PLANISH,Sinclair Lewis,1943,7,1943-05-03,3,2,1,['Sinclair'],['Lewis'],['M'],['white']
1989,GIDEON'S CORPSE,Douglas Preston,2012,2,2012-01-29,3,3,1,['Douglas'],['Preston'],['M'],['white']
199,A PRAYER FOR MY SON,Hugh Walpole,1936,8,1936-10-26,6,3,1,['Hugh'],['Walpole'],['M'],['white']
1990,GIDEON’S SWORD,Douglas Preston and Lincoln Child,2011,2,2011-03-13,3,3,2,"['Douglas', 'Lincoln']","['Preston', 'Child']","['M', 'M']","['white', 'white']"
1991,GILEAD,Marilynne Robinson,2005,5,2005-02-06,13,11,1,['Marilynne'],['Robinson'],['F'],['white']
1992,GILES GOAT BOY,John Barth,1966,12,1966-08-28,8,4,1,['John'],['Barth'],['M'],['white']
1993,GIRL WITH A PEARL EARRING,Tracy Chevalier,2000,2,2000-03-12,12,12,1,['Tracy'],['Chevalier'],['F'],['white']
1994,GIRLS LIKE US,Cristina Alger,2019,1,2019-07-21,13,13,1,['Cristina'],['Alger'],['F'],['white']
1995,GIVE US OUR DREAM,Arthemise Goertz,1947,6,1947-07-27,11,10,1,['Arthemise'],['Goertz'],['F'],['white']
1996,GLASS HOUSES,Louise Penny,2017,3,2017-09-17,1,1,1,['Louise'],['Penny'],['F'],['white']
1997,GLITZ,Elmore Leonard,1985,18,1985-02-10,15,2,1,['Elmore'],['Leonard'],['M'],['white']
1998,GLORIOUS APPEARING,Tim LaHaye and Jerry B. Jenkins,2004,12,2004-04-18,1,1,2,"['Tim', 'Jerry']","['LaHaye', 'Jenkins']","['M', 'M']","['white', 'white']"
1999,GLORY AND THE LIGHTNING,Taylor Caldwell,1974,3,1974-12-01,8,8,1,['Taylor'],['Caldwell'],['F'],['white']
2,"""J"" IS FOR JUDGMENT",Sue Grafton,1993,10,1993-04-18,3,3,1,['Sue'],['Grafton'],['F'],['white']
20,14TH DEADLY SIN,James Patterson and Maxine Paetro,2015,7,2015-05-24,1,1,2,"['James', 'Maxine']","['Patterson', 'Paetro']","['M', 'F']","['white', None]"
200,A PRAYER FOR OWEN MEANY,John Irving,1989,19,1989-03-26,6,2,1,['John'],['Irving'],['M'],['white']
2000,GO SET A WATCHMAN,Harper Lee,2015,33,2015-08-02,1,1,1,['Harper'],['Lee'],['F'],['white']
2001,"GO SLOWLY, COME BACK QUICKLY",David Niven,1981,11,1981-12-27,14,9,1,['David'],['Niven'],['M'],['white']
2002,GO TO THE WIDOW-MAKER,James Jones,1967,8,1967-05-14,9,8,1,['James'],['Jones'],['M'],['white']
2003,GOD EMPEROR OF DUNE,Frank Herbert,1981,25,1981-04-26,14,3,1,['Frank'],['Herbert'],['M'],['white']
2004,GOD HELP THE CHILD,Toni Morrison,2015,6,2015-05-10,5,5,1,['Toni'],['Morrison'],['F'],['white']
2005,GOD IS AN ENGLISHMAN,R.F. Delderfield,1970,24,1970-09-13,10,4,1,['R.F.'],['Delderfield'],[None],[None]
2006,GOD KNOWS,Joseph Heller,1984,16,1984-10-07,10,2,1,['Joseph'],['Heller'],['M'],['white']
2007,GOD MUST BE SAD,Fannie Hurst,1962,1,1962-01-14,15,15,1,['Fannie'],['Hurst'],['F'],['white']
2008,GOD'S MEN,Pearl S. Buck,1951,15,1951-04-29,11,8,1,['Pearl'],['Buck'],['F'],['white']
2009,GOD'S OTHER SON,Don Imus,1994,7,1994-11-27,14,7,1,['Don'],['Imus'],['M'],['white']
201,A PRINCESS OF LANDOVER,Terry Brooks,2009,1,2009-09-06,15,15,1,['Terry'],['Brooks'],['M'],['white']
2010,GODDESS OF VENGEANCE,Jackie Collins,2011,2,2011-10-02,10,10,1,['Jackie'],['Collins'],['F'],['white']
2011,GODPLAYER,Robin Cook,1983,11,1983-07-10,15,4,1,['Robin'],['Cook'],['F'],['white']
2012,GODS AND GENERALS,Jeff Shaara,1996,13,1996-06-30,12,9,1,['Jeff'],['Shaara'],['M'],[None]
2013,GOLD,Chris Cleave,2012,1,2012-07-22,14,14,1,['Chris'],['Cleave'],['M'],['white']
2014,GOLDEN ADMIRAL,Francis Van Wyck Mason,1953,26,1953-03-08,14,3,1,['Francis'],['Mason'],['M'],['white']
2015,GOLDEN IN DEATH,J.D. Robb,2020,4,2020-02-23,2,2,1,['J.D.'],['Robb'],[None],['white']
2016,GOLDEN PREY,John Sandford,2017,6,2017-05-14,1,1,1,['John'],['Sandford'],['M'],['white']
2017,GOLDEN SON,Pierce Brown,2015,1,2015-01-25,6,6,1,['Pierce'],['Brown'],['M'],['white']
2018,GONE,James Patterson and Michael Ledwidge,2013,5,2013-10-20,3,3,2,"['James', 'Michael']","['Patterson', 'Ledwidge']","['M', 'M']","['white', 'white']"
2019,GONE,Jonathan Kellerman,2006,6,2006-04-16,1,1,1,['Jonathan'],['Kellerman'],['M'],['white']
202,A PRISONER OF BIRTH,Jeffrey Archer,2008,5,2008-03-23,7,6,1,['Jeffrey'],['Archer'],['M'],['white']
2020,GONE,Lisa Gardner,2006,4,2006-02-19,4,4,1,['Lisa'],['Gardner'],['F'],['white']
2021,GONE,Randy Wayne White,2012,1,2012-09-23,15,15,1,['Randy'],['White'],['M'],['white']
2022,GONE FOR GOOD,Harlan Coben,2002,4,2002-05-19,12,12,1,['Harlan'],['Coben'],['M'],['white']
2023,GONE GIRL,Gillian Flynn,2012,80,2012-06-24,2,1,1,['Gillian'],['Flynn'],['F'],['white']
2024,GONE TOMORROW,Lee Child,2009,5,2009-06-07,1,1,1,['Lee'],['Child'],['M'],['white']
2025,GONE TOO FAR,Suzanne Brockmann,2003,4,2003-08-03,5,5,1,['Suzanne'],['Brockmann'],['F'],['white']
2026,GONE WITH THE WIND,Margaret Mitchell,1936,78,1936-07-06,5,1,1,['Margaret'],['Mitchell'],['F'],['white']
2027,"GONE, BUT NOT FORGOTTEN",Phillip Margolin,1993,1,1993-10-31,12,12,1,['Phillip'],['Margolin'],['M'],['white']
2028,GOOD AS GOLD,Joseph Heller,1979,25,1979-03-25,14,1,1,['Joseph'],['Heller'],['M'],['white']
2029,GOOD GRIEF,Lolly Winston,2004,3,2004-05-02,15,12,1,['Lolly'],['Winston'],['F'],['black']
203,A PRIVATE CATHEDRAL,James Lee Burke,2020,1,2020-08-30,3,3,1,['James'],['Burke'],['M'],['white']
2030,"GOOD MORNING, MISS DOVE",Frances Gray Patton,1954,19,1954-11-28,13,7,1,['Frances'],['Patton'],['F'],['white']
2031,"GOOD-BYE, MR. CHIPS",James Hilton,1934,41,1934-07-23,5,2,1,['James'],['Hilton'],['M'],['white']
2032,GOODBYE CALIFORNIA,Allistair MacLean,1978,9,1978-04-30,12,10,1,['Allistair'],['MacLean'],['M'],['white']
2033,"GOODBYE, JANETTE",Harold Robbins,1981,21,1981-06-14,14,3,1,['Harold'],['Robbins'],['M'],['white']
2034,"GOODBYE, MICKEY MOUSE",Len Deighton,1982,13,1982-12-19,13,9,1,['Len'],['Deighton'],['M'],['white']
2035,GOODNIGHT NOBODY,Jennifer Weiner,2005,5,2005-10-09,2,2,1,['Jennifer'],['Weiner'],['F'],['white']
2036,GORKY PARK,Martin Cruz Smith,1981,45,1981-04-12,11,1,1,['Martin'],['Smith'],['M'],['white']
2037,GRACE,Richard Paul Evans,2008,1,2008-10-26,8,8,1,['Richard'],['Evans'],['M'],['white']
2038,GRAND CANARY,A. J. Cronin,1933,2,1933-05-22,3,2,1,['A.'],['Cronin'],['M'],['white']
2039,GRAND PASSION,Jayne Ann Krentz,1994,3,1994-01-30,13,13,1,['Jayne'],['Krentz'],['F'],['white']
204,A PROLOGUE TO LOVE,Taylor Caldwell,1961,30,1961-12-03,14,3,1,['Taylor'],['Caldwell'],['F'],['white']
2040,GRAND RIGHT AND LEFT,Louis Kronenberger,1952,1,1952-03-23,15,15,1,['Louis'],['Kronenberger'],['M'],['white']
2041,GRANDFATHER STORIES,Samuel Hopkins Adams,1955,13,1955-08-14,14,7,1,['Samuel'],['Adams'],['M'],['white']
2042,GRANDMOTHER AND THE PRIESTS,Taylor Caldwell,1963,23,1963-03-31,9,3,1,['Taylor'],['Caldwell'],['F'],['white']
2043,GRANDSONS,Louis Adamic,1935,1,1935-04-01,8,8,1,['Louis'],['Adamic'],['M'],['white']
2044,GRANNY DAN,Danielle Steel,1999,11,1999-07-18,2,2,1,['Danielle'],['Steel'],['F'],['white']
2045,GRAVE SECRET,Charlaine Harris,2009,1,2009-11-15,9,9,1,['Charlaine'],['Harris'],['F'],['white']
2046,GRAVE SECRETS,Kathy Reichs,2002,2,2002-07-28,13,11,1,['Kathy'],['Reichs'],['F'],[None]
2047,GRAVITY'S RAINBOW,Thomas Pynchon,1973,4,1973-04-22,9,8,1,['Thomas'],['Pynchon'],['M'],[None]
2048,GRAY MOUNTAIN,John Grisham,2014,20,2014-11-09,1,1,1,['John'],['Grisham'],['M'],['white']
2049,GREAT LAUGHTER,Fanny Hurst,1936,4,1936-11-02,7,7,1,['Fanny'],['Hurst'],['F'],['white']
205,A RAGE TO LIVE,John O'Hara,1949,33,1949-09-04,6,1,1,['John'],"[""O'Hara""]",['M'],[None]
2050,GREAT LION OF GOD,Taylor Caldwell,1970,34,1970-05-03,9,2,1,['Taylor'],['Caldwell'],['F'],['white']
2051,GREAT SON,Edna Ferber,1945,8,1945-02-25,2,2,1,['Edna'],['Ferber'],['F'],['white']
2052,GREEN DARKNESS,Anya Seton,1972,25,1972-12-17,10,3,1,['Anya'],['Seton'],['F'],['white']
2053,GREEN DOLPHIN STREET,Elizabeth Goudge,1944,22,1944-10-01,5,1,1,['Elizabeth'],['Goudge'],['F'],['white']
2054,GREEN GRASS OF WYOMING,Mary O'Hara,1946,14,1946-12-01,7,4,1,['Mary'],"[""O'Hara""]",['F'],[None]
2055,GREEN LIGHT,Lloyd C. Douglas,1935,31,1935-03-18,5,1,1,['Lloyd'],['Douglas'],['M'],['white']
2056,GREEN MONDAY,Michael M. Thomas,1980,6,1980-08-17,15,13,1,['Michael'],['Thomas'],['M'],['white']
2057,GREEN RUSHES,Maurice Walsh,1935,3,1935-10-14,6,5,1,['Maurice'],['Walsh'],['M'],['white']
2058,GREENWILLOW,B.J. Chute,1956,1,1956-08-05,15,15,1,['B.J.'],['Chute'],[None],['white']
2059,GRENADINE ETCHING,Robert C. Ruark,1947,8,1947-10-19,16,13,1,['Robert'],['Ruark'],['M'],['white']
206,A RED HERRING WITHOUT MUSTARD,Alan Bradley,2011,1,2011-02-27,9,9,1,['Alan'],['Bradley'],['M'],['white']
2060,GRIFFIN & SABINE,Nick Bantock,1992,47,1992-01-26,14,3,1,['Nick'],['Bantock'],['M'],[None]
2061,GUARD OF HONOR,James Gould Cozzens,1949,5,1949-01-16,14,13,1,['James'],['Cozzens'],['M'],['white']
2062,GUARDIAN ANGEL,Sara Paretsky,1992,7,1992-02-16,11,8,1,['Sara'],['Paretsky'],['F'],[None]
2063,GUARDIAN OF LIES,Steve Martini,2009,1,2009-08-02,10,10,1,['Steve'],['Martini'],['M'],['white']
2064,GUARDIAN OF THE HORIZON,Elizabeth Peters,2004,2,2004-04-18,10,10,1,['Elizabeth'],['Peters'],['F'],['white']
2065,GUARDIANS OF THE WEST,David Eddings,1987,4,1987-05-10,12,12,1,['David'],['Eddings'],['M'],['white']
2066,GUARDIANS OF THE WEST,David Eddings.,1987,1,1987-05-03,12,12,1,['David'],['Eddings.'],['M'],['white']
2067,GUILT,Jonathan Kellerman,2013,3,2013-03-03,4,4,1,['Jonathan'],['Kellerman'],['M'],['white']
2068,GUILTY,Karen Robards,2008,1,2008-04-20,14,14,1,['Karen'],['Robards'],['F'],['white']
2069,GUILTY AS SIN,Tami Hoag,1996,8,1996-03-03,13,5,1,['Tami'],['Hoag'],['F'],['white']
207,A REDBIRD CHRISTMAS,Fannie Flagg,2004,8,2004-11-21,8,8,1,['Fannie'],['Flagg'],['F'],['white']
2070,GUILTY MINDS,Joseph Finder,2016,1,2016-08-07,14,14,1,['Joseph'],['Finder'],['M'],['white']
2071,GUILTY PLEASURES,Lawrence Sanders,1998,5,1998-03-15,16,10,1,['Lawrence'],['Sanders'],['M'],['white']
2072,GUILTY WIVES,James Patterson and David Ellis,2012,6,2012-04-15,2,2,2,"['James', 'David']","['Patterson', 'Ellis']","['M', 'M']","['white', 'white']"
2073,GUMP & CO.,Winston Groom,1995,1,1995-09-17,15,15,1,['Winston'],['Groom'],['M'],['white']
2074,GUNMETAL GRAY,Mark Greaney,2017,1,2017-03-05,11,11,1,['Mark'],['Greaney'],['M'],['white']
2075,GUNNAR'S DAUGHTER,Sigrid Undset,1936,1,1936-08-24,6,6,1,['Sigrid'],['Undset'],['F'],[None]
2076,GUNS OF BURGOYNE,Bruce Lancaster,1939,3,1939-04-10,7,4,1,['Bruce'],['Lancaster'],['M'],['white']
2077,GUS THE GREAT,Thomas W. Duncan,1947,17,1947-10-12,13,4,1,['Thomas'],['Duncan'],['M'],['white']
2078,GWENDY'S BUTTON BOX,Stephen King and Richard Chizmar,2017,3,2017-06-04,7,7,2,"['Stephen', 'Richard']","['King', 'Chizmar']","['M', 'M']","['white', 'white']"
2079,GYPPED,Carol Higgins Clark,2012,1,2012-04-22,11,11,1,['Carol'],['Clark'],['F'],['white']
208,A RISING THUNDER,David Weber,2012,2,2012-03-25,3,3,1,['David'],['Weber'],['M'],['white']
2080,GYPSY SIXPENCE,Edison Marshall,1949,9,1949-11-06,14,11,1,['Edison'],['Marshall'],['M'],['white']
2081,"GYPSY, GYPSY",Rumer Godden,1940,1,1940-08-19,5,5,1,['Rumer'],['Godden'],['F'],['white']
2082,"H. M. PULHAM, ESQUIRE",J. P. Marquand,1941,13,1941-03-03,5,2,1,['J.'],['Marquand'],['M'],['white']
2083,H.M.S. ULYSSES,Alistair MacLean,1956,17,1956-01-29,11,8,1,['Alistair'],['MacLean'],['M'],['white']
2084,H.R.H.,Danielle Steel,2006,5,2006-11-26,7,7,1,['Danielle'],['Steel'],['F'],['white']
2085,HADRIAN'S MEMOIRS,Marguerite Yourcenar,1954,20,1954-12-12,12,6,1,['Marguerite'],['Yourcenar'],['F'],[None]
2086,HALF A LIFE,V. S. Naipaul,2001,1,2001-11-04,15,15,1,['V.'],['Naipaul'],['M'],[None]
2087,HALF ASLEEP IN FROG PAJAMAS,Tom Robbins,1994,3,1994-09-18,16,11,1,['Tom'],['Robbins'],['M'],['white']
2088,HALF BROKE HORSES,Jeannette Walls,2009,8,2009-10-25,7,7,1,['Jeannette'],['Walls'],['F'],['white']
2089,HALO: SILENTIUM,Greg Bear,2013,1,2013-04-07,8,8,1,['Greg'],['Bear'],['M'],['white']
209,A RIVER IN THE SKY,Elizabeth Peters,2010,1,2010-04-25,5,5,1,['Elizabeth'],['Peters'],['F'],['white']
2090,HAMMERHEADS,Dale Brown,1990,6,1990-08-05,14,10,1,['Dale'],['Brown'],['M'],['white']
2091,HANDLE WITH CARE,Jodi Picoult,2009,10,2009-03-22,1,1,1,['Jodi'],['Picoult'],['F'],[None]
2092,HANDS,Charles G. Norris,1935,5,1935-10-28,7,6,1,['Charles'],['Norris'],['M'],['white']
2093,HANGMAN,Faye Kellerman,2010,1,2010-08-22,11,11,1,['Faye'],['Kellerman'],['F'],['white']
2094,HANNAH’S LIST,Debbie Macomber,2010,3,2010-05-16,5,5,1,['Debbie'],['Macomber'],['F'],['white']
2095,HANNIBAL,Thomas Harris,1999,18,1999-06-27,1,1,1,['Thomas'],['Harris'],['M'],['white']
2096,HANNIBAL RISING,Thomas Harris,2006,12,2006-12-24,6,5,1,['Thomas'],['Harris'],['M'],['white']
2097,HANTA YO,Ruth Beebe Hill,1979,30,1979-03-04,6,3,1,['Ruth'],['Hill'],['F'],['white']
2098,HAPPINESS SOLD SEPARATELY,Lolly Winston,2006,2,2006-08-27,8,8,1,['Lolly'],['Winston'],['F'],['black']
